Player,Category,Keyword,Tweet,Date
Mbappe,Match Performance,goal,@rektober vinicius 2 goals mbappe 1 goal jude 1 penalty and then they ziddane get ronaldo he scores a hatrick then we are so back,2025-03-04 20:08:01+00:00
Mbappe,Match Performance,goal,I was gonna take Rodrygo shot on goal but I took Mbappe instead 💔,2025-03-04 20:07:22+00:00
Mbappe,Match Performance,goal,#UCLHINDI mbappe will score a bicycle goal todayyyy!!!,2025-03-04 20:05:09+00:00
Mbappe,Match Performance,goal,Not tweeting until mbappe scores a goal,2025-03-04 20:04:35+00:00
Mbappe,Match Performance,goal,Mbappe goal will feed families,2025-03-04 20:01:29+00:00
Mbappe,Match Performance,goal,"First UCL Madrid derby in 8 years, Mbappe can score his 8th ucl goal of the season.",2025-03-04 20:00:45+00:00
Mbappe,Match Performance,goal,mbappe grizi vini rodrygo the goal scorers tonight #RealMadridAtleti,2025-03-04 20:00:33+00:00
Mbappe,Match Performance,goal,"@prediction10000 Probably, first Madrid derby in 8 years, Mbappe can score his 8th ucl goal of the season.",2025-03-04 20:00:19+00:00
Mbappe,Match Performance,goal,"Vinicius tap in 
Rodrigo offside goal
Mbappe a controversial penalty goal
   HALA MADRID !!! 🤍 
#UCL #RealMadridAtleti https://t.co/XdtdTextHQ",2025-03-04 19:58:31+00:00
Mbappe,Match Performance,goal,"GW2 | GAME 6 | QUICKSIM 

@AssassinsFTC 2-1 @BeastFCFT 

59' @AnsuAj2 (#BEA)
66' @thfc_g3orge (#ASSA)
90' @KMbappeProp (#ASSA) 

A 90TH MINUTE GOAL FROM MBAPPE PROP SEALS THE WIN FOR ASSASSINS 💜🤍 https://t.co/k2NhA3ZVde",2025-03-04 19:58:26+00:00
Mbappe,Match Performance,goal,@mrlamar01_ Goal Scorers are Mbappe and Vinicious Junior for Atletico Madrid Julian Alvarez and Griezmann,2025-03-04 19:57:09+00:00
Mbappe,Match Performance,goal,"my lunch is over, see you guys later hopefully i come back to mbappe goal",2025-03-04 19:56:39+00:00
Mbappe,Match Performance,goal,@mrlamar01_ Goal scorer is Mbappe,2025-03-04 19:55:57+00:00
Mbappe,Match Performance,goal,"@MadridXtra vini goal, mbappe 2 goals incoming",2025-03-04 19:52:34+00:00
Mbappe,Match Performance,goal,"#UCL | ⚪️ Real Madrid vs Atletico Madrid 🔴

First Goal ⚽️

Kylian Mbappe +350
Vinicius Junior +400
Alexander Sorloth +550
Julian Alvarez +600
Rodrygo +600
Antoine Griezmann +700
Arda Guler +700
Angel Correa +800
Brahim Diaz +800
Samuel Lino +1000 https://t.co/TPFOXqP3GT",2025-03-04 19:51:35+00:00
Mbappe,Match Performance,goal,"To do list ✅

Mbappe: ghosted 

Vincius :   ghosted 

Rodrygo: ghosted 

Alvarez: masterclass 

Greziman :goal 

Real Madrid 1 : 3 atletico https://t.co/fzGgJdEtk0",2025-03-04 19:51:20+00:00
Mbappe,Match Performance,goal,@MadridXtra A goal for Mbappe,2025-03-04 19:44:54+00:00
Mbappe,Match Performance,goal,@MbappeMastery Mbappe goal 👀,2025-03-04 19:41:55+00:00
Mbappe,Match Performance,goal,@DrchamsJ Mbappe has a goal tonight,2025-03-04 19:32:24+00:00
Mbappe,Match Performance,goal,dortmund win and mbappe goal pls,2025-03-04 19:31:09+00:00
Mbappe,Match Performance,goal,"As seen in a dream!

- Real madrid 1:1 Atletico Madrid 
- PSV 2:1 Arsenal 
- Julian Alvarez goal at Bernabeu 
- Mbappe disasterclass 
- No goal for Vinicius jnr
- Merino and Odegaard stinker 
- Rodrygo goal 
- Arteta and Ancelotti downfall 

It's happening! https://t.co/8hwamvLM66",2025-03-04 19:26:27+00:00
Mbappe,Match Performance,goal,"Bookmark this cause it'll surely happen!
-PSV 1-2 Arsenal
-Real Madrid 2-2 Atletico Madrid
-De Jong goal and assist from Perisic
-Trossard and Merino goal
-Odegaard disasterclass!
-Mbappe and Vinicius goal
-Rodrygo and Valverde assist
-Griezmann and Alvarez goal
#RMAATM #UCL https://t.co/5CPJP5dQ84 https://t.co/miacnukrKl",2025-03-04 19:24:33+00:00
Mbappe,Match Performance,goal,I'm about to miss Mbappe scoring bangers and explaining the goals as he celebrates them to watch Gabriel pass to Saliba to Rice to Odegaard to Nwaneri to Odegaard to Timber to Odegaard to Rice to Trossard who then hits a overhit cross for a goal kick,2025-03-04 19:23:29+00:00
Mbappe,Match Performance,goal,Not tweeting till Ethan Mbappe scores a UCL goal 👍 https://t.co/XM0R0oueTb,2025-03-04 19:20:39+00:00
Mbappe,Match Performance,goal,"Vinicius g/a
Mbappe g/a
Rodrygo assist
Raul Asencio goal line clearance and a last man tackle 
Valverde masterclass 
Courtois clean sheet https://t.co/3HJwbWVbug",2025-03-04 19:19:26+00:00
Mbappe,Match Performance,goal,"@Solcasinoio 2:0

Mbappe will score the first goal and real Madrid with win",2025-03-04 19:18:34+00:00
Mbappe,Match Performance,goal,"Mbappe hatewatch
Mbappe red rating
Mbappe leg fracture
Mbappe back injury
Mbappe elbow dislocation
Mbappe goal drought starting 
Mbappe ACL tear
Mbappe Achilles tear
Mbappe dislocated shoulder 
Mbappe grade 3 ankle sprain
Mbappe breaking both tibia fibula
https://t.co/B7lXHYnpe7",2025-03-04 19:09:15+00:00
Mbappe,Match Performance,goal,"Which player do you think will score the first goal in Real Madrid vs Atletico Madrid game?
I think mbappe",2025-03-04 19:07:12+00:00
Mbappe,Match Performance,goal,@GianATM @Joshharrop18379 @DeBee_papa @MCFC__Kun @UTDTrey Mbappe has a better goal ratio than messi in the wc. I know my goat,2025-03-04 19:06:01+00:00
